WeightID;Weight Kit Serial Number;Nominal Value;Actual Value;Unit of measure;Uncertainty Value;Uncertainty Unit of measure;Divsor;Type;Distribution;Comments
1;VEH-1;50;4900.092;lb;0.00062;lb;;A;Normal;
2;VEH-1;50;4900.015;lb;0.00062;lb;;A;Normal;
3;VEH-1;50;4900.058;lb;0.00062;lb;;A;Normal;
4;VEH-1;50;4900.086;lb;0.00062;lb;;A;Normal;
5;VEH-1;50;4900.049;lb;0.00062;lb;;A;Normal;
6;VEH-1;50;490.001;lb;0.00062;lb;;A;Normal;
7;VEH-1;50;4900.082;lb;0.00062;lb;;A;Normal;
8;VEH-1;50;4900.119;lb;0.00062;lb;;A;Normal;
9;VEH-1;50;4900.033;lb;0.00062;lb;;A;Normal;
10;VEH-1;50;4900.044;lb;0.00062;lb;;A;Normal;
11;VEH-1;50;4900.011;lb;0.00062;lb;;A;Normal;
12;VEH-1;50;490.007;lb;0.00062;lb;;A;Normal;
13;VEH-1;50;4900.029;lb;0.00062;lb;;A;Normal;
14;VEH-1;50;4900.027;lb;0.00062;lb;;A;Normal;
15;VEH-1;50;4900.052;lb;0.00062;lb;;A;Normal;
16;VEH-1;50;4900.083;lb;0.00062;lb;;A;Normal;
17;VEH-1;50;49.083;lb;0.00062;lb;;A;Normal;
18;VEH-1;50;4900.004;lb;0.00062;lb;;A;Normal;
19;VEH-1;50;4900.045;lb;0.00062;lb;;A;Normal;
20;VEH-1;50;4900.065;lb;0.00062;lb;;A;Normal;
